target,text
1,i like taking my dogs with me in the car when i run errands they are always excited to go anywhere like this morning to krogers
0,ugh i hate my mom on facebook i dont want to be her friend but if im not shell take it as the worst thing ever
1,kudos my hero my hero paramore gevening
0,horrible end of the night bad date and this is why
0,these grapes taste gross
0,day of college left hmmm what am i going to do next i guess chillin in yando sounds like a good occupation
0,cant get my hd camera to stream live video on ustream so its back to the quotole reliable ptz
1,what i saw of the awards was funny robert looked so yummy finished my homework bed time goodnight lt
1,walking to carls
1,thank you for responding
0,no baby foxes sighting today
0,jerry is going to be really busy west is not looking really good do not get me wrong i luv money but also making memories with my kids
0,oh no are you going to have to put it down poor couch
0,but im a vegetarian
1,thanks brings me nice memories of my fav rock club
0,yes yes they did i was the only one to have alcohol with breakfast they judged me
0,even mine
0,join the club ill pray for you if you pray for me
1,lol same name without the fame
0,i jealous ur lunch so nice i only had maggie
0,days till i get married and my stupid retainer broke last night
1,watched movies all wke lol
0,no twang photopass for tonite
0,lonely and wanting summer now
0,does yuml support interface class description at the same time cant get it working so far gt ltlttgtgttimplpigetpi
1,after about or beers i might agree with you
1,good day my people my community my village i know its raining at times today but its healthy renew the soilsoul
1,goodmornin grrr homework then finally maybe ill find a dress for graduation this is very important but it needs to be nonexpensive
1,not too much you
1,yep got to be i have been eyeing rings like those for months and i havent worn a band for years dh has been lookn too
0,oh man your the nd person to say that and i could hear it perfectly fine im ginna lose
0,i want that shirt
1,after expecting sleep in bed for gt minutes better get up and do something useful in laconica is going to be sweet
1,wiiii have a job
0,omgz trying to photocopy a page long piece x page now
0,im missing ur ass babe thats wat im doin wat u doin stop hating haha
0,yeah ugh that was terrible
1,iya say gw d sydney skrg mari mari qta ktm lemme know when you gonna be here
1,top chef masters thats whats up culinary arts goes bloodsport shameless anticipation yayee to watching legends snot and grovel
1,chillin with my boo
1,is thinking that the past nights out definitely made up for all of the quotcollege experiencequot i missed out on
1,back from running against the breasts cancer quotwomens racequot feel extremely tired but it was absolutely worthy
0,i wish i could have spent more time there i was really interested in the exhibits she said we had to hurry back
0,i want an ice cream van
1,wow im tweetless
1,thanks for helpin me out
1,going shopping in london on thursssssssday and maybe wednesday for a bit is anyone else we aughta meet up
1,your jelly tweet made me smile
1,going to my friends birthday party tonight
0,uhm im doing my math homework no fun and im totally blanking on how to write in vertex form heh heh heh
0,getting off the comp for now
1,lets have some action lets have some asses wigglin i want some perfectionpurple rain morris day
1,im tired and going to sleep soon good night
1,setting up my twitter account
1,my daddy just said im no fun nemore sorry im growing up and dont want to be a child ily daddy
1,it was a beautiful day and a great race and my boo tucked me in on the couch with monkey so that my eyes could recover from pollen
1,hello guys beautiful sunday with sun and happy people
0,laying on my bed wishing i could relax unfortunately i have five piles of clean clothes on my bed i need to fold and put away
1,its a perfect day to graduate
1,cinderella is a nickname my full name is faithful in english and of course dbsk is my forever love
1,nice photoshop effects
